Loss: 91.9101, Epoch Duration: 5.55 seconds
Loss: 86.5899, Epoch Duration: 1.11 seconds
Loss: 82.0750, Epoch Duration: 1.04 seconds
Loss: 77.5297, Epoch Duration: 1.02 seconds
Loss: 72.9577, Epoch Duration: 1.10 seconds
Loss: 68.3330, Epoch Duration: 1.23 seconds
Loss: 63.0352, Epoch Duration: 1.03 seconds
Loss: 57.1143, Epoch Duration: 1.18 seconds
Loss: 51.2993, Epoch Duration: 1.01 seconds
Loss: 45.6076, Epoch Duration: 1.00 seconds
Loss: 40.7879, Epoch Duration: 0.96 seconds
Loss: 37.0093, Epoch Duration: 1.06 seconds
Loss: 33.6861, Epoch Duration: 1.00 seconds
Loss: 31.0225, Epoch Duration: 1.03 seconds
Loss: 28.9696, Epoch Duration: 0.97 seconds
Loss: 27.3526, Epoch Duration: 1.01 seconds
Loss: 24.9573, Epoch Duration: 0.98 seconds
Loss: 21.9032, Epoch Duration: 1.02 seconds
Loss: 19.2710, Epoch Duration: 1.01 seconds
Loss: 17.6014, Epoch Duration: 1.05 seconds
Loss: 16.0184, Epoch Duration: 0.98 seconds
Loss: 14.9029, Epoch Duration: 1.25 seconds
Loss: 13.8170, Epoch Duration: 1.16 seconds
Loss: 11.8940, Epoch Duration: 1.00 seconds
Loss: 6.9357, Epoch Duration: 1.09 seconds
Loss: 4.7177, Epoch Duration: 0.99 seconds
Loss: 3.5859, Epoch Duration: 1.13 seconds
Loss: 3.3692, Epoch Duration: 1.17 seconds
Loss: 3.1257, Epoch Duration: 1.26 seconds
Loss: 3.1937, Epoch Duration: 1.00 seconds
Loss: 3.0766, Epoch Duration: 1.03 seconds
Loss: 3.1035, Epoch Duration: 1.26 seconds
Loss: 2.9534, Epoch Duration: 1.00 seconds
Loss: 2.9158, Epoch Duration: 1.02 seconds
Loss: 2.7918, Epoch Duration: 0.99 seconds
Loss: 2.7731, Epoch Duration: 1.06 seconds
Loss: 2.7026, Epoch Duration: 0.94 seconds
Loss: 2.8077, Epoch Duration: 1.01 seconds
Loss: 2.7070, Epoch Duration: 1.00 seconds
Loss: 2.5399, Epoch Duration: 1.03 seconds
Loss: 2.4937, Epoch Duration: 1.02 seconds
Loss: 2.4241, Epoch Duration: 1.26 seconds
Loss: 2.3817, Epoch Duration: 1.05 seconds
Loss: 2.5545, Epoch Duration: 1.00 seconds
Loss: 2.3167, Epoch Duration: 0.97 seconds
Loss: 2.6101, Epoch Duration: 1.04 seconds
Loss: 2.5326, Epoch Duration: 1.00 seconds
Loss: 2.1958, Epoch Duration: 1.06 seconds
Loss: 2.1871, Epoch Duration: 1.20 seconds
Loss: 2.3064, Epoch Duration: 1.17 seconds
Loss: 2.0861, Epoch Duration: 1.09 seconds
Loss: 1.9428, Epoch Duration: 0.98 seconds
Loss: 2.2851, Epoch Duration: 0.99 seconds
Loss: 2.1167, Epoch Duration: 0.99 seconds
Loss: 2.0473, Epoch Duration: 1.27 seconds
Loss: 2.1249, Epoch Duration: 1.01 seconds
Loss: 1.9820, Epoch Duration: 1.35 seconds
Loss: 1.8523, Epoch Duration: 1.07 seconds
Loss: 1.9996, Epoch Duration: 1.25 seconds
Loss: 2.0159, Epoch Duration: 1.07 seconds
Loss: 2.0783, Epoch Duration: 1.17 seconds
Loss: 2.0365, Epoch Duration: 1.15 seconds
Loss: 1.7157, Epoch Duration: 1.08 seconds
Loss: 1.7899, Epoch Duration: 1.03 seconds
Loss: 1.8465, Epoch Duration: 1.06 seconds
Loss: 1.8624, Epoch Duration: 1.01 seconds
Loss: 1.8451, Epoch Duration: 0.97 seconds
Loss: 2.0500, Epoch Duration: 0.98 seconds
Loss: 1.9431, Epoch Duration: 1.05 seconds
Loss: 1.7743, Epoch Duration: 1.00 seconds
Loss: 1.8030, Epoch Duration: 1.09 seconds
Loss: 1.6561, Epoch Duration: 1.11 seconds
Loss: 1.6278, Epoch Duration: 1.09 seconds
Loss: 1.6798, Epoch Duration: 1.11 seconds
Loss: 1.8642, Epoch Duration: 1.00 seconds
Loss: 1.7427, Epoch Duration: 1.05 seconds
Loss: 1.8324, Epoch Duration: 1.15 seconds
Loss: 1.7035, Epoch Duration: 1.00 seconds
Loss: 1.4797, Epoch Duration: 1.08 seconds
Loss: 1.6764, Epoch Duration: 1.09 seconds
Loss: 1.5878, Epoch Duration: 1.23 seconds
Loss: 1.5934, Epoch Duration: 1.10 seconds
Loss: 1.7640, Epoch Duration: 1.23 seconds
Loss: 1.7275, Epoch Duration: 1.17 seconds
Loss: 1.8239, Epoch Duration: 1.14 seconds
Loss: 1.6364, Epoch Duration: 1.19 seconds
Loss: 1.7428, Epoch Duration: 0.94 seconds
Loss: 1.7042, Epoch Duration: 1.26 seconds
Loss: 1.5535, Epoch Duration: 1.05 seconds
Loss: 1.6366, Epoch Duration: 1.03 seconds
Loss: 1.5914, Epoch Duration: 1.05 seconds
Loss: 1.6655, Epoch Duration: 1.11 seconds
Loss: 1.7446, Epoch Duration: 1.05 seconds
Loss: 1.5969, Epoch Duration: 0.91 seconds
Loss: 1.6519, Epoch Duration: 1.01 seconds
Loss: 1.4856, Epoch Duration: 1.37 seconds
Loss: 1.6129, Epoch Duration: 1.06 seconds
Loss: 1.5122, Epoch Duration: 1.01 seconds
Loss: 1.4227, Epoch Duration: 1.00 seconds
Loss: 1.5030, Epoch Duration: 1.19 seconds
Loss: 1.5583, Epoch Duration: 1.04 seconds
Loss: 1.6455, Epoch Duration: 0.97 seconds
Loss: 1.6067, Epoch Duration: 1.09 seconds
Loss: 1.5856, Epoch Duration: 0.99 seconds
Loss: 1.4906, Epoch Duration: 1.00 seconds
Loss: 1.4343, Epoch Duration: 1.16 seconds
Loss: 1.7934, Epoch Duration: 1.15 seconds
Loss: 1.5338, Epoch Duration: 1.14 seconds
Loss: 1.5939, Epoch Duration: 1.24 seconds
Loss: 1.5836, Epoch Duration: 1.08 seconds
Loss: 1.5341, Epoch Duration: 1.01 seconds
Loss: 1.4104, Epoch Duration: 1.01 seconds
Loss: 1.5150, Epoch Duration: 1.04 seconds
Loss: 1.5943, Epoch Duration: 1.21 seconds
Loss: 1.5911, Epoch Duration: 1.09 seconds
Loss: 1.5180, Epoch Duration: 0.92 seconds
Loss: 1.5272, Epoch Duration: 1.04 seconds
Loss: 1.4517, Epoch Duration: 1.10 seconds
Loss: 1.3556, Epoch Duration: 1.07 seconds
Loss: 1.5154, Epoch Duration: 1.17 seconds
Loss: 1.5745, Epoch Duration: 1.06 seconds
Loss: 1.5006, Epoch Duration: 1.11 seconds
Loss: 1.6219, Epoch Duration: 1.01 seconds
Loss: 1.5573, Epoch Duration: 1.00 seconds
Loss: 1.6756, Epoch Duration: 0.99 seconds
Loss: 1.5279, Epoch Duration: 1.04 seconds
Loss: 1.4704, Epoch Duration: 1.03 seconds
Loss: 1.6701, Epoch Duration: 1.03 seconds
Loss: 1.4699, Epoch Duration: 1.07 seconds
Loss: 1.5079, Epoch Duration: 1.01 seconds
Loss: 1.4092, Epoch Duration: 1.04 seconds
Loss: 1.4444, Epoch Duration: 1.04 seconds
Loss: 1.4874, Epoch Duration: 1.08 seconds
Loss: 1.4054, Epoch Duration: 1.01 seconds
Loss: 1.4458, Epoch Duration: 1.12 seconds
Loss: 1.3373, Epoch Duration: 1.06 seconds
Loss: 1.2567, Epoch Duration: 0.99 seconds
Loss: 1.5579, Epoch Duration: 1.05 seconds
Loss: 1.4226, Epoch Duration: 0.91 seconds
Loss: 1.4592, Epoch Duration: 1.01 seconds
Loss: 1.4041, Epoch Duration: 1.39 seconds
Loss: 1.4455, Epoch Duration: 1.30 seconds
Loss: 1.4436, Epoch Duration: 1.11 seconds
Loss: 1.3699, Epoch Duration: 1.10 seconds
Loss: 1.2301, Epoch Duration: 1.08 seconds
Loss: 1.4143, Epoch Duration: 0.98 seconds
Loss: 1.3031, Epoch Duration: 1.09 seconds
Loss: 1.6669, Epoch Duration: 1.07 seconds
Loss: 1.4947, Epoch Duration: 1.31 seconds
Loss: 1.3078, Epoch Duration: 1.08 seconds
Loss: 1.2888, Epoch Duration: 1.24 seconds
Loss: 1.3535, Epoch Duration: 1.00 seconds
Loss: 1.2701, Epoch Duration: 1.34 seconds
Loss: 1.4045, Epoch Duration: 1.05 seconds
Loss: 1.2715, Epoch Duration: 1.27 seconds
Loss: 1.3798, Epoch Duration: 0.93 seconds
Loss: 1.2177, Epoch Duration: 1.02 seconds
Loss: 1.2939, Epoch Duration: 1.01 seconds
Loss: 1.3065, Epoch Duration: 1.02 seconds
Loss: 1.4608, Epoch Duration: 0.97 seconds
Loss: 1.5802, Epoch Duration: 1.03 seconds
Loss: 1.4777, Epoch Duration: 1.00 seconds
Loss: 1.2582, Epoch Duration: 1.03 seconds
Loss: 1.2360, Epoch Duration: 1.09 seconds
