Loss: 100.0044, Epoch Duration: 2.53 seconds
Loss: 100.0041, Epoch Duration: 1.53 seconds
Loss: 100.0039, Epoch Duration: 1.62 seconds
Loss: 100.0037, Epoch Duration: 1.60 seconds
Loss: 100.0034, Epoch Duration: 1.47 seconds
Loss: 100.0032, Epoch Duration: 1.46 seconds
Loss: 100.0029, Epoch Duration: 1.39 seconds
Loss: 100.0027, Epoch Duration: 1.63 seconds
Loss: 100.0024, Epoch Duration: 1.47 seconds
Loss: 100.0021, Epoch Duration: 1.52 seconds
Loss: 100.0017, Epoch Duration: 1.62 seconds
Loss: 100.0013, Epoch Duration: 1.57 seconds
Loss: 100.0008, Epoch Duration: 1.48 seconds
Loss: 99.7933, Epoch Duration: 1.52 seconds
Loss: 86.4717, Epoch Duration: 1.57 seconds
Loss: 37.6290, Epoch Duration: 1.51 seconds
Loss: 31.9630, Epoch Duration: 1.54 seconds
Loss: 28.9956, Epoch Duration: 1.58 seconds
Loss: 25.6153, Epoch Duration: 1.53 seconds
Loss: 21.0426, Epoch Duration: 1.61 seconds
Loss: 16.2161, Epoch Duration: 1.51 seconds
Loss: 13.5026, Epoch Duration: 1.47 seconds
Loss: 11.9851, Epoch Duration: 1.57 seconds
Loss: 11.2559, Epoch Duration: 1.77 seconds
Loss: 10.9398, Epoch Duration: 1.58 seconds
Loss: 10.7801, Epoch Duration: 1.59 seconds
Loss: 10.6641, Epoch Duration: 1.63 seconds
Loss: 10.5835, Epoch Duration: 1.53 seconds
Loss: 10.5014, Epoch Duration: 1.44 seconds
Loss: 10.4194, Epoch Duration: 1.60 seconds
Loss: 10.3553, Epoch Duration: 1.59 seconds
Loss: 10.2889, Epoch Duration: 1.43 seconds
Loss: 10.2389, Epoch Duration: 1.46 seconds
Loss: 10.1810, Epoch Duration: 1.58 seconds
Loss: 10.1280, Epoch Duration: 1.32 seconds
Loss: 10.0673, Epoch Duration: 1.61 seconds
Loss: 10.0164, Epoch Duration: 1.63 seconds
Loss: 9.9574, Epoch Duration: 1.40 seconds
Loss: 9.9087, Epoch Duration: 1.57 seconds
Loss: 9.8679, Epoch Duration: 1.58 seconds
Loss: 9.8115, Epoch Duration: 1.31 seconds
Loss: 9.7626, Epoch Duration: 1.44 seconds
Loss: 9.7010, Epoch Duration: 1.48 seconds
Loss: 9.6511, Epoch Duration: 1.48 seconds
Loss: 9.5985, Epoch Duration: 1.52 seconds
Loss: 9.5665, Epoch Duration: 1.48 seconds
Loss: 9.4941, Epoch Duration: 1.45 seconds
Loss: 9.4498, Epoch Duration: 1.40 seconds
Loss: 9.3955, Epoch Duration: 1.42 seconds
Loss: 9.3368, Epoch Duration: 1.85 seconds
Loss: 9.2586, Epoch Duration: 1.77 seconds
Loss: 9.2046, Epoch Duration: 1.45 seconds
Loss: 9.1602, Epoch Duration: 1.47 seconds
Loss: 9.1011, Epoch Duration: 1.71 seconds
Loss: 9.0608, Epoch Duration: 1.67 seconds
Loss: 9.0110, Epoch Duration: 1.56 seconds
Loss: 8.9708, Epoch Duration: 1.40 seconds
Loss: 8.9405, Epoch Duration: 1.37 seconds
Loss: 8.9161, Epoch Duration: 1.63 seconds
Loss: 8.8827, Epoch Duration: 1.68 seconds
Loss: 8.8327, Epoch Duration: 1.78 seconds
Loss: 8.7922, Epoch Duration: 1.77 seconds
Loss: 8.7625, Epoch Duration: 1.83 seconds
Loss: 8.7310, Epoch Duration: 1.39 seconds
Loss: 8.6889, Epoch Duration: 1.80 seconds
Loss: 8.6528, Epoch Duration: 1.67 seconds
Loss: 8.6259, Epoch Duration: 1.52 seconds
Loss: 8.5963, Epoch Duration: 1.44 seconds
Loss: 8.5585, Epoch Duration: 1.59 seconds
Loss: 8.5684, Epoch Duration: 1.40 seconds
Loss: 8.4918, Epoch Duration: 1.59 seconds
Loss: 8.4516, Epoch Duration: 1.44 seconds
Loss: 8.4280, Epoch Duration: 1.48 seconds
Loss: 8.4115, Epoch Duration: 1.41 seconds
Loss: 8.3631, Epoch Duration: 1.64 seconds
Loss: 8.3295, Epoch Duration: 1.40 seconds
Loss: 8.2939, Epoch Duration: 1.45 seconds
Loss: 8.2593, Epoch Duration: 1.52 seconds
Loss: 8.2355, Epoch Duration: 1.47 seconds
Loss: 8.1818, Epoch Duration: 1.49 seconds
Loss: 8.1514, Epoch Duration: 1.31 seconds
Loss: 8.1343, Epoch Duration: 1.55 seconds
Loss: 8.0855, Epoch Duration: 1.41 seconds
Loss: 8.0947, Epoch Duration: 1.53 seconds
Loss: 8.0236, Epoch Duration: 1.42 seconds
Loss: 8.0215, Epoch Duration: 1.61 seconds
Loss: 7.9974, Epoch Duration: 1.57 seconds
Loss: 7.9286, Epoch Duration: 1.64 seconds
Loss: 7.8704, Epoch Duration: 1.67 seconds
Loss: 7.8347, Epoch Duration: 1.51 seconds
Loss: 7.8615, Epoch Duration: 1.48 seconds
Loss: 7.7808, Epoch Duration: 1.44 seconds
Loss: 7.7133, Epoch Duration: 1.50 seconds
Loss: 7.6815, Epoch Duration: 1.57 seconds
Loss: 7.6629, Epoch Duration: 1.65 seconds
Loss: 7.6226, Epoch Duration: 1.53 seconds
Loss: 7.5647, Epoch Duration: 1.43 seconds
Loss: 7.5407, Epoch Duration: 1.54 seconds
Loss: 7.5051, Epoch Duration: 1.46 seconds
Loss: 7.4895, Epoch Duration: 1.37 seconds
Loss: 7.4020, Epoch Duration: 1.51 seconds
Loss: 7.3618, Epoch Duration: 1.53 seconds
Loss: 7.3201, Epoch Duration: 1.56 seconds
Loss: 7.2800, Epoch Duration: 1.50 seconds
Loss: 7.2223, Epoch Duration: 1.68 seconds
Loss: 7.1752, Epoch Duration: 1.33 seconds
Loss: 7.1352, Epoch Duration: 1.45 seconds
Loss: 7.1060, Epoch Duration: 1.41 seconds
Loss: 7.1147, Epoch Duration: 1.44 seconds
Loss: 7.0757, Epoch Duration: 1.57 seconds
Loss: 7.0475, Epoch Duration: 1.37 seconds
Loss: 6.8817, Epoch Duration: 1.50 seconds
Loss: 6.8893, Epoch Duration: 1.53 seconds
Loss: 6.7975, Epoch Duration: 1.72 seconds
Loss: 6.8206, Epoch Duration: 1.72 seconds
Loss: 6.7291, Epoch Duration: 1.57 seconds
Loss: 6.6631, Epoch Duration: 1.43 seconds
Loss: 6.6251, Epoch Duration: 1.58 seconds
Loss: 6.5731, Epoch Duration: 1.52 seconds
Loss: 6.5331, Epoch Duration: 1.43 seconds
Loss: 6.4659, Epoch Duration: 1.55 seconds
Loss: 6.4244, Epoch Duration: 1.46 seconds
Loss: 6.3681, Epoch Duration: 1.49 seconds
Loss: 6.3922, Epoch Duration: 1.57 seconds
Loss: 6.3359, Epoch Duration: 1.52 seconds
Loss: 6.2714, Epoch Duration: 1.50 seconds
Loss: 6.1965, Epoch Duration: 1.47 seconds
Loss: 6.1461, Epoch Duration: 1.65 seconds
Loss: 6.1198, Epoch Duration: 1.48 seconds
Loss: 6.0471, Epoch Duration: 1.49 seconds
Loss: 6.0358, Epoch Duration: 1.58 seconds
Loss: 5.9850, Epoch Duration: 1.52 seconds
Loss: 5.9656, Epoch Duration: 1.59 seconds
Loss: 5.9554, Epoch Duration: 1.59 seconds
Loss: 6.0430, Epoch Duration: 1.37 seconds
Loss: 5.8196, Epoch Duration: 1.58 seconds
Loss: 5.8066, Epoch Duration: 1.61 seconds
Loss: 5.7695, Epoch Duration: 1.62 seconds
Loss: 5.7535, Epoch Duration: 1.42 seconds
Loss: 5.7117, Epoch Duration: 1.61 seconds
Loss: 5.6941, Epoch Duration: 1.80 seconds
Loss: 5.6451, Epoch Duration: 1.59 seconds
Loss: 5.6151, Epoch Duration: 1.54 seconds
Loss: 5.5795, Epoch Duration: 1.52 seconds
Loss: 5.5445, Epoch Duration: 1.48 seconds
Loss: 5.6141, Epoch Duration: 1.56 seconds
Loss: 5.6084, Epoch Duration: 1.57 seconds
Loss: 5.5995, Epoch Duration: 1.54 seconds
Loss: 5.4466, Epoch Duration: 1.59 seconds
Loss: 5.4029, Epoch Duration: 1.52 seconds
